-221~-210,秦朝·始皇帝
-210~-207,秦朝·二世皇帝
-207~-207,秦朝·秦王子婴
-202~-195,西汉·汉高祖
-195~-188,西汉·汉惠帝
-188~-184,西汉·(前)少帝
-184~-180,西汉·(后)少帝
-180~-157,西汉·汉文帝
-157~-141,西汉·汉景帝
-141~-87,西汉·汉武帝
-87~-74,西汉·汉昭帝
-74~-74,西汉·海昏侯/废帝
-74~-49,西汉·汉宣帝
-49~-33,西汉·汉元帝
-33~-7,西汉·汉成帝
-7~-1,西汉·汉哀帝
-1~6,西汉·汉平帝
6~8,西汉·孺子婴
9~23,新朝·新朝皇帝
25~57,东汉·汉光武帝
57~75,东汉·汉明帝
75~88,东汉·汉章帝
88~106,东汉·汉和帝
106~106,东汉·汉殇帝
106~125,东汉·汉安帝
125~125,东汉·(前)少帝
125~144,东汉·汉顺帝
144~145,东汉·汉冲帝
145~146,东汉·汉质帝
146~168,东汉·汉桓帝
168~189,东汉·汉灵帝
189~189,东汉·(后)少帝
189~220,东汉·汉献帝
220~226,曹魏·魏文帝
221~223,蜀汉·汉昭烈帝
223~263,蜀汉·后主
226~239,曹魏·魏明帝
229~252,孙吴·吴大帝
239~254,曹魏·齐王/邵陵厉公
252~258,孙吴·会稽王
254~260,曹魏·高贵乡公
258~264,孙吴·吴景帝
260~266,曹魏·魏元帝
264~280,孙吴·末帝/归命侯
266~290,西晋·晋武帝
290~307,西晋·晋惠帝
301~301,西晋·司马伦
301~314,前凉·张轨
304~310,汉赵（前赵）·刘渊
304~334,成汉·李雄
307~313,西晋·晋怀帝
310~318,汉赵（前赵）·刘聪
313~316,西晋·晋愍帝
314~320,前凉·张寔
318~318,汉赵（前赵）·刘粲
318~323,东晋·晋元帝
318~329,汉赵（前赵）·刘曜
319~333,后赵·石勒
320~324,前凉·张茂
323~325,东晋·晋明帝
324~346,前凉·张骏
325~342,东晋·晋成帝
333~334,后赵·石弘
334~334,成汉·李班
334~338,成汉·李期
334~349,后赵·石虎
337~348,前燕·慕容皝
338~343,成汉·李寿
342~344,东晋·晋康帝
343~347,成汉·李势
344~361,东晋·晋穆帝
346~353,前凉·张重华
348~360,前燕·慕容儁
349~349,后赵·石世
349~349,后赵·石遵
349~350,后赵·石鉴
350~350,前秦·苻洪
350~351,后赵·石祗
350~355,前秦·苻健
353~353,前凉·张曜灵
353~355,前凉·张祚
355~357,前秦·苻生
355~363,前凉·张玄靓
357~385,前秦·苻坚
360~370,前燕·慕容暐
361~365,东晋·晋哀帝
363~376,前凉·张天锡
365~371,东晋·海西公
371~372,东晋·晋简文帝
372~396,东晋·晋孝武帝
384~393,后秦·姚苌
384~396,后燕·慕容垂
385~386,前秦·苻丕
385~388,西秦·乞伏国仁
386~394,前秦·苻登
386~399,后凉·吕光
386~409,北魏·魏道武帝
388~412,西秦·乞伏乾归
394~394,前秦·苻崇
394~416,后秦·姚兴
396~398,后燕·慕容宝
396~419,东晋·晋安帝
397~399,南凉·秃发乌孤
397~401,北凉·段业
398~401,后燕·慕容盛
398~405,南燕·慕容德
399~399,后凉·吕绍
399~401,后凉·吕纂
399~402,南凉·秃发利鹿孤
400~417,西凉·李暠
401~403,后凉·吕隆
401~407,后燕·慕容熙
401~433,北凉·沮渠蒙逊
402~414,南凉·秃发傉檀
405~410,南燕·慕容超
407~409,北燕·高云
407~425,大夏·赫连勃勃
409~423,北魏·魏明元帝
409~430,北燕·冯跋
412~428,西秦·乞伏炽磐
416~417,后秦·姚泓
417~420,西凉·李歆
419~420,东晋·晋恭帝
420~421,西凉·李恂
420~422,刘宋·宋武帝
422~424,刘宋·宋少帝
423~452,北魏·魏太武帝
424~453,刘宋·宋文帝
425~428,大夏·赫连昌
