-221~-210,秦始皇(嬴政)
-210~-207,秦二世(胡亥)

-202~-195,西汉高祖(刘邦)
-195~-188,西汉惠帝(刘盈)
-188~-184,西汉前少帝(刘恭)
-184~-180,西汉后少帝(刘弘)
-180~-157,西汉文帝(刘恒)
-157~-141,西汉景帝(刘启)
-141~-87,西汉武帝(刘彻)
-87~-74,西汉昭帝(刘弗陵)
-74~-74,西汉废帝(刘贺)
-74~-49,西汉宣帝(刘询)
-49~-33,西汉元帝(刘奭)
-33~-7,西汉成帝(刘骜)
-7~1,西汉哀帝(刘欣)
1~6,西汉平帝(刘衎)

9~23,新帝(王莽)

25~57,东汉光武帝(刘秀)
57~75,东汉明帝(刘庄)
75~88,东汉章帝(刘炟)
88~106,东汉和帝(刘肇)
106~106,东汉殇帝(刘隆)
106~125,东汉安帝(刘祜)
125~125,东汉前少帝(刘懿)
125~144,东汉顺帝(刘保)
144~145,东汉冲帝(刘炳)
145~146,东汉质帝(刘缵)
146~168,东汉桓帝(刘志)
168~189,东汉灵帝(刘宏)
189~189,东汉少帝(刘辩)
189~220,东汉献帝(刘协)

220~226,魏文帝(曹丕)
226~239,魏明帝(曹叡)
239~254,魏少帝(曹芳)
254~260,魏废帝(曹髦)
260~265,魏元帝(曹奂)

221~223,蜀汉昭烈帝(刘备)
223~263,蜀汉后主(刘禅)

229~252,吴大帝(孙权)
252~258,吴少帝(孙亮)
258~264,吴景帝(孙休)
264~280,吴末帝(孙皓)

266~290,西晋武帝(司马炎)
290~307,西晋惠帝(司马衷)
307~313,西晋怀帝(司马炽)
313~316,西晋愍帝(司马邺)

317~323,东晋元帝(司马睿)
323~325,东晋明帝(司马绍)
325~342,东晋成帝(司马衍)
342~344,东晋康帝(司马岳)
344~361,东晋穆帝(司马聃)
361~365,东晋哀帝(司马丕)
365~371,东晋海西公(司马奕)
371~372,东晋简文帝(司马昱)
372~396,东晋孝武帝(司马曜)
396~419,东晋安帝(司马德宗)
419~420,东晋恭帝(司马德文)

581~604,隋文帝(杨坚)
604~618,隋炀帝(杨广)
617~618,隋恭帝(杨侑)

618~626,唐高祖(李渊)
626~649,唐太宗(李世民)
649~683,唐高宗(李治)
684~684,唐中宗(李显)
684~690,唐睿宗(李旦)
690~705,武周(武则天)
705~710,唐中宗(李显)
710~712,唐睿宗(李旦)
712~756,唐玄宗(李隆基)
756~762,唐肃宗(李亨)
762~779,唐代宗(李豫)
779~805,唐德宗(李适)
805~806,唐顺宗(李诵)
806~820,唐宪宗(李纯)
820~824,唐穆宗(李恒)
824~827,唐敬宗(李湛)
827~840,唐文宗(李昂)
840~846,唐武宗(李炎)
846~859,唐宣宗(李忱)
859~873,唐懿宗(李漼)
873~888,唐僖宗(李儇)
888~904,唐昭宗(李晔)
904~907,唐哀帝(李柷)

907~912,后梁太祖(朱温)
912~913,后梁末帝(朱友珪)
913~923,后梁末帝(朱友贞)

923~926,后唐庄宗(李存勖)
926~933,后唐明宗(李嗣源)
933~934,后唐闵帝(李从厚)
934~936,后唐末帝(李从珂)

936~942,后晋高祖(石敬瑭)
942~947,后晋出帝(石重贵)

947~948,后汉高祖(刘知远)
948~951,后汉隐帝(刘承祐)

951~954,后周太祖(郭威)
954~959,后周世宗(郭荣)
959~960,后周恭帝(柴宗训)

907~918,前蜀高祖(王建)
918~925,前蜀后主(王衍)

934~935,后蜀高祖(孟知祥)
935~965,后蜀后主(孟昶)

937~943,南唐烈祖(李昪)
943~961,南唐元宗(李璟)
961~976,南唐后主(李煜)

917~942,南汉高祖(刘龑)
942~943,南汉殇帝(刘玢)
943~958,南汉中宗(刘晟)
958~971,南汉后主(刘鋹)

951~954,北汉世祖(刘崇)
954~968,北汉睿宗(刘钧)
968~969,北汉少主(刘继恩)
969~979,北汉后主(刘继元)

916~926,辽太祖(耶律阿保机)
926~947,辽太宗(耶律德光)
947~951,辽世宗(耶律阮)
951~969,辽穆宗(耶律璟)
969~982,辽景宗(耶律贤)
982~1031,辽圣宗(耶律隆绪)
1031~1055,辽兴宗(耶律宗真)
1055~1101,辽道宗(耶律洪基)
1101~1125,辽天祚帝(耶律延禧)

960~976,北宋太祖(赵匡胤)
976~997,北宋太宗(赵光义)
997~1022,北宋真宗(赵恒)
1022~1063,北宋仁宗(赵祯)
1063~1067,北宋英宗(赵曙)
1067~1085,北宋神宗(赵顼)
1085~1100,北宋哲宗(赵煦)
1100~1126,北宋徽宗(赵佶)
1126~1127,北宋钦宗(赵桓)

1127~1162,南宋高宗(赵构)
1162~1189,南宋孝宗(赵昚)
1189~1194,南宋光宗(赵惇)
1194~1224,南宋宁宗(赵扩)
1224~1264,南宋理宗(赵昀)
1264~1274,南宋度宗(赵禥)
1274~1276,南宋恭帝(赵显)
1276~1278,南宋端宗(赵昰)
1278~1279,南宋祥兴帝(赵昺)

1038~1048,西夏景宗(李元昊)
1048~1067,西夏毅宗(李谅祚)
1067~1086,西夏惠宗(李秉常)
1086~1139,西夏崇宗(李乾顺)
1139~1193,西夏仁宗(李仁孝)
1193~1206,西夏桓宗(李纯祐)
1206~1211,西夏襄宗(李安全)
1211~1223,西夏神宗(李德旺)
1223~1226,西夏献宗(李德任)
1226~1227,西夏末帝(李睍)

1115~1123,金太祖(完颜阿骨打)
1123~1135,金太宗(完颜吴乞买)
1135~1149,金熙宗(完颜亶)
1149~1161,金海陵帝(完颜亮)
1161~1189,金世宗(完颜雍)
1189~1208,金章宗(完颜璟)
1208~1213,金卫绍王(完颜永济)
1213~1224,金宣宗(完颜珣)
1224~1234,金哀宗(完颜守绪)

1260~1294,元世祖(忽必烈)
1294~1307,元成宗(铁穆耳)
1307~1311,元武宗(海山)
1311~1320,元仁宗(爱育黎拔力八达)
1320~1323,元英宗(硕德八剌)
1323~1328,元泰定帝(也孙铁木儿)
1328~1328,元天顺帝(阿速吉八)
1328~1332,元文宗(图帖睦尔)
1332~1332,元宁宗(懿璘质班)
1333~1368,元顺帝(妥懽帖睦尔)

1368~1398,明太祖(朱元璋)
1398~1402,明惠帝(朱允炆)
1402~1424,明成祖(朱棣)
1424~1425,明仁宗(朱高炽)
1425~1435,明宣宗(朱瞻基)
1435~1449,明英宗(朱祁镇)
1449~1457,明代宗(朱祁钰)
1457~1464,明英宗(朱祁镇)
1464~1487,明宪宗(朱见深)
1487~1505,明孝宗(朱佑樘)
1505~1521,明武宗(朱厚照)
1521~1567,明世宗(朱厚熜)
1567~1572,明穆宗(朱载垕)
1572~1620,明神宗(朱翊钧)
1620~1620,明光宗(朱常洛)
1620~1627,明熹宗(朱由校)
1627~1644,明思宗(朱由检)

1644~1645,南明弘光帝(朱由崧)
1645~1646,南明隆武帝(朱聿键)
1647~1647,南明绍武帝(朱聿𨮁)
1646~1662,南明永历帝(朱由榔)

1636~1643,清太宗(皇太极)
1643~1661,清世祖(顺治帝)
1661~1722,清圣祖(康熙帝)
1722~1735,清世宗(雍正帝)
1735~1796,清高宗(乾隆帝)
1796~1820,清仁宗(嘉庆帝)
1820~1850,清宣宗(道光帝)
1850~1861,清文宗(咸丰帝)
1861~1875,清穆宗(同治帝)
1875~1908,清德宗(光绪帝)
1908~1912,清宣统帝(溥仪)
