-626~-548,泰勒斯
-610~-546,阿那克西曼德
-586~-526,阿那克西美尼
-570~-495,毕达哥拉斯
-570~-478,克塞诺芬尼
-535~-475,赫拉克利特
-530~-450,希帕索
-515~-450,巴门尼德
-500~-428,阿那克萨戈拉
-495~-430,芝诺（爱利亚派）
-494~-434,恩培多克勒
-490~-430,留基波
-490~-430,麦里梭
-490~-420,普罗泰戈拉
-483~-375,高尔吉亚
-469~-399,苏格拉底
-460~-370,德谟克利特
-446~-366,安提斯泰尼
-435~-365,欧几里得（麦加拉学派）
-427~-347,柏拉图
-412~-323,第欧根尼
-405~-330,欧布里德
-384~-322,亚里士多德
-360~-270,皮浪
-341~-270,伊壁鸠鲁
-334~-262,芝诺（斯多亚学派）
-106~-43,西塞罗
-100~-40,埃奈西德谟
-20~50,斐洛
-4~65,塞涅卡
50~135,爱比克泰德
50~100,阿格里帕
121~180,马可·奥勒留
155~220,德尔图良
160~210,恩披里克
204~270,普罗提诺
234~305,波菲利
354~430,奥古斯丁
390~418,佩拉纠
477~524,波爱修
980~1037,阿维森纳
990~1083,高尼罗
1033~1109,安瑟尔谟
1050~1125,洛色林
1079~1142,阿伯拉尔
1219~1292,罗吉尔·培根
1225~1274,托马斯·阿奎那
1265~1308,邓斯·司各特
1285~1347,奥卡姆的威廉
1561~1626,弗朗西斯·培根
1588~1679,托马斯·霍布斯
1592~1655,皮埃尔·伽桑狄
1596~1650,勒内·笛卡尔
1632~1704,约翰·洛克
1632~1677,巴鲁赫·斯宾诺莎
1638~1715,尼古拉·马勒伯朗士
1646~1716,莱布尼茨
1679~1754,沃尔夫
1685~1753,乔治·贝克莱
1689~1755,孟德斯鸠
1694~1778,伏尔泰
1709~1751,拉美特利
1711~1776,大卫·休谟
1712~1778,让—雅克·卢梭
1713~1784,狄德罗
1714~1780,孔狄亚克
1715~1771,爱尔维修
1717~1783,达朗贝
1723~1789,霍尔巴赫
1724~1804,康德
1762~1814,费希特
1770~1831,黑格尔
1775~1854,谢林
1804~1872,费尔巴哈
1818~1883,马克思
