# time,title
# 基于 examples/赵林-哲学家表.csv 制作的日期精度测试版。
# 仅收录可写成当前工具支持的公元 YYYY-MM-DD 的人物；BCE 和仅有约略年份的人物未放入此测试文件。
# 主要参考 Wikimedia Commons / Wikidata / Wikipedia / Britannica 中的人物生卒日期。
0121-04-26~0180-03-17,马可·奥勒留
0354-11-13~0430-08-28,奥古斯丁
1561-01-22~1626-04-09,弗朗西斯·培根
1588-04-05~1679-12-04,托马斯·霍布斯
1592-01-22~1655-10-24,皮埃尔·伽桑狄
1596-03-31~1650-02-11,勒内·笛卡尔
1632-08-29~1704-10-28,约翰·洛克
1632-11-24~1677-02-21,巴鲁赫·斯宾诺莎
1638-08-06~1715-10-13,尼古拉·马勒伯朗士
1646-07-01~1716-11-14,莱布尼茨
1679-01-24~1754-04-09,沃尔夫
1685-03-12~1753-01-14,乔治·贝克莱
1689-01-18~1755-02-10,孟德斯鸠
1694-11-21~1778-05-30,伏尔泰
1709-11-23~1751-11-11,拉美特利
1711-05-07~1776-08-25,大卫·休谟
1712-06-28~1778-07-02,让—雅克·卢梭
1713-10-05~1784-07-31,狄德罗
1714-09-30~1780-08-03,孔狄亚克
1715-01-26~1771-12-26,爱尔维修
1717-11-16~1783-10-29,达朗贝
1723-12-08~1789-01-21,霍尔巴赫
1724-04-22~1804-02-12,康德
1762-05-19~1814-01-27,费希特
1770-08-27~1831-11-14,黑格尔
1775-01-27~1854-08-20,谢林
1804-07-28~1872-09-13,费尔巴哈
1818-05-05~1883-03-14,马克思
